ICD-10-CM Codes,Description,Tags
M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,
M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,
M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,
M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,
M057A,Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement,
M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site,
M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder,
M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder,
M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,
M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow,
M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow,
M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,
M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist,
M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist,
M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,
M05841,Other rheumatoid arthritis with rheumatoid factor of right hand,
M05842,Other rheumatoid arthritis with rheumatoid factor of left hand,
M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand,
M05851,Other rheumatoid arthritis with rheumatoid factor of right hip,
M05852,Other rheumatoid arthritis with rheumatoid factor of left hip,
M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,
M05861,Other rheumatoid arthritis with rheumatoid factor of right knee,
M05862,Other rheumatoid arthritis with rheumatoid factor of left knee,
M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee,
M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,
M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,
M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,
M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites,
M058A,Other rheumatoid arthritis with rheumatoid factor of other specified site,
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",
M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site",
M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder",
M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder",
M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",
M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",
M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",
M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",
M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",
M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",
M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",
M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",
M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",
M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand",
M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",
M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",
M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",
M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",
M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",
M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee",
M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",
M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",
M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",
M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",
M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites",
M060A,"Rheumatoid arthritis without rheumatoid factor, other specified site",
M061,Adult-onset Still's disease,
M0620,"Rheumatoid bursitis, unspecified site",
M06211,"Rheumatoid bursitis, right shoulder",
M06212,"Rheumatoid bursitis, left shoulder",
M06219,"Rheumatoid bursitis, unspecified shoulder",
M06221,"Rheumatoid bursitis, right elbow",
M06222,"Rheumatoid bursitis, left elbow",
M06229,"Rheumatoid bursitis, unspecified elbow",
M06231,"Rheumatoid bursitis, right wrist",
M06232,"Rheumatoid bursitis, left wrist",
M06239,"Rheumatoid bursitis, unspecified wrist",
M06241,"Rheumatoid bursitis, right hand",
M06242,"Rheumatoid bursitis, left hand",
M06249,"Rheumatoid bursitis, unspecified hand",
M06251,"Rheumatoid bursitis, right hip",
M06252,"Rheumatoid bursitis, left hip",
M06259,"Rheumatoid bursitis, unspecified hip",
M06261,"Rheumatoid bursitis, right knee",
M06262,"Rheumatoid bursitis, left knee",
M06269,"Rheumatoid bursitis, unspecified knee",
M06271,"Rheumatoid bursitis, right ankle and foot",
M06272,"Rheumatoid bursitis, left ankle and foot",
M06279,"Rheumatoid bursitis, unspecified ankle and foot",
M0628,"Rheumatoid bursitis, vertebrae",
M0629,"Rheumatoid bursitis, multiple sites",
M0630,"Rheumatoid nodule, unspecified site",
M06311,"Rheumatoid nodule, right shoulder",
M06312,"Rheumatoid nodule, left shoulder",
M06319,"Rheumatoid nodule, unspecified shoulder",
M06321,"Rheumatoid nodule, right elbow",
M06322,"Rheumatoid nodule, left elbow",
M06329,"Rheumatoid nodule, unspecified elbow",
M06331,"Rheumatoid nodule, right wrist",
M06332,"Rheumatoid nodule, left wrist",
M06339,"Rheumatoid nodule, unspecified wrist",
M06341,"Rheumatoid nodule, right hand",
M06342,"Rheumatoid nodule, left hand",
M06349,"Rheumatoid nodule, unspecified hand",
M06351,"Rheumatoid nodule, right hip",
M06352,"Rheumatoid nodule, left hip",
M06359,"Rheumatoid nodule, unspecified hip",
M06361,"Rheumatoid nodule, right knee",
M06362,"Rheumatoid nodule, left knee",
M06369,"Rheumatoid nodule, unspecified knee",
M06371,"Rheumatoid nodule, right ankle and foot",
M06372,"Rheumatoid nodule, left ankle and foot",
M06379,"Rheumatoid nodule, unspecified ankle and foot",
M0638,"Rheumatoid nodule, vertebrae",
M0639,"Rheumatoid nodule, multiple sites",
M064,Inflammatory polyarthropathy,
M0680,"Other specified rheumatoid arthritis, unspecified site",
M06811,"Other specified rheumatoid arthritis, right shoulder",
M06812,"Other specified rheumatoid arthritis, left shoulder",
M06819,"Other specified rheumatoid arthritis, unspecified shoulder",
M06821,"Other specified rheumatoid arthritis, right elbow",
M06822,"Other specified rheumatoid arthritis, left elbow",
M06829,"Other specified rheumatoid arthritis, unspecified elbow",
M06831,"Other specified rheumatoid arthritis, right wrist",
M06832,"Other specified rheumatoid arthritis, left wrist",
M06839,"Other specified rheumatoid arthritis, unspecified wrist",
M06841,"Other specified rheumatoid arthritis, right hand",
M06842,"Other specified rheumatoid arthritis, left hand",
M06849,"Other specified rheumatoid arthritis, unspecified hand",
M06851,"Other specified rheumatoid arthritis, right hip",
M06852,"Other specified rheumatoid arthritis, left hip",
M06859,"Other specified rheumatoid arthritis, unspecified hip",
M06861,"Other specified rheumatoid arthritis, right knee",
M06862,"Other specified rheumatoid arthritis, left knee",
M06869,"Other specified rheumatoid arthritis, unspecified knee",
M06871,"Other specified rheumatoid arthritis, right ankle and foot",
M06872,"Other specified rheumatoid arthritis, left ankle and foot",
M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot",
M0688,"Other specified rheumatoid arthritis, vertebrae",
M0689,"Other specified rheumatoid arthritis, multiple sites",
M068A,"Other specified rheumatoid arthritis, other specified site",
M069,"Rheumatoid arthritis, unspecified",
M0800,Unspecified juvenile rheumatoid arthritis of unspecified site,
M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder",
M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder",
M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder",
M08021,"Unspecified juvenile rheumatoid arthritis, right elbow",
M08022,"Unspecified juvenile rheumatoid arthritis, left elbow",
M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow",
M08031,"Unspecified juvenile rheumatoid arthritis, right wrist",
M08032,"Unspecified juvenile rheumatoid arthritis, left wrist",
M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist",
M08041,"Unspecified juvenile rheumatoid arthritis, right hand",
M08042,"Unspecified juvenile rheumatoid arthritis, left hand",
M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand",
M08051,"Unspecified juvenile rheumatoid arthritis, right hip",
M08052,"Unspecified juvenile rheumatoid arthritis, left hip",
M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip",
M08061,"Unspecified juvenile rheumatoid arthritis, right knee",
M08062,"Unspecified juvenile rheumatoid arthritis, left knee",
M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee",
M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot",
M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot",
M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",
M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae",
M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites",
M080A,"Unspecified juvenile rheumatoid arthritis, other specified site",
M081,Juvenile ankylosing spondylitis,
M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site",
M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder",
M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder",
M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder",
M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow",
M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow",
M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow",
M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist",
M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist",
M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",
M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand",
M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand",
M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",
M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip",
M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip",
M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip",
M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee",
M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee",
M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee",
M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",
M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",
M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",
M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae",
M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites",
M082A,"Juvenile rheumatoid arthritis with systemic onset, other specified site",
M083,Juvenile rheumatoid polyarthritis (seronegative),
M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site",
M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder",
M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder",
M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder",
M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow",
M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow",
M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",
M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist",
M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist",
M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist",
M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand",
M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand",
M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand",
M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip",
M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip",
M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",
M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee",
M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee",
M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",
M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",
M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",
M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot",
M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae",
M084A,"Pauciarticular juvenile rheumatoid arthritis, other specified site",
M0880,"Other juvenile arthritis, unspecified site",
M08811,"Other juvenile arthritis, right shoulder",
M08812,"Other juvenile arthritis, left shoulder",
M08819,"Other juvenile arthritis, unspecified shoulder",
M08821,"Other juvenile arthritis, right elbow",
M08822,"Other juvenile arthritis, left elbow",
M08829,"Other juvenile arthritis, unspecified elbow",
M08831,"Other juvenile arthritis, right wrist",
M08832,"Other juvenile arthritis, left wrist",
M08839,"Other juvenile arthritis, unspecified wrist",
M08841,"Other juvenile arthritis, right hand",
M08842,"Other juvenile arthritis, left hand",
M08849,"Other juvenile arthritis, unspecified hand",
M08851,"Other juvenile arthritis, right hip",
M08852,"Other juvenile arthritis, left hip",
M08859,"Other juvenile arthritis, unspecified hip",
M08861,"Other juvenile arthritis, right knee",
M08862,"Other juvenile arthritis, left knee",
M08869,"Other juvenile arthritis, unspecified knee",
M08871,"Other juvenile arthritis, right ankle and foot",
M08872,"Other juvenile arthritis, left ankle and foot",
M08879,"Other juvenile arthritis, unspecified ankle and foot",
M0888,"Other juvenile arthritis, other specified site",
M0889,"Other juvenile arthritis, multiple sites",
M0890,"Juvenile arthritis, unspecified, unspecified site",
M08911,"Juvenile arthritis, unspecified, right shoulder",
M08912,"Juvenile arthritis, unspecified, left shoulder",
M08919,"Juvenile arthritis, unspecified, unspecified shoulder",
M08921,"Juvenile arthritis, unspecified, right elbow",
M08922,"Juvenile arthritis, unspecified, left elbow",
M08929,"Juvenile arthritis, unspecified, unspecified elbow",
M08931,"Juvenile arthritis, unspecified, right wrist",
M08932,"Juvenile arthritis, unspecified, left wrist",
M08939,"Juvenile arthritis, unspecified, unspecified wrist",
M08941,"Juvenile arthritis, unspecified, right hand",
M08942,"Juvenile arthritis, unspecified, left hand",
M08949,"Juvenile arthritis, unspecified, unspecified hand",
M08951,"Juvenile arthritis, unspecified, right hip",
M08952,"Juvenile arthritis, unspecified, left hip",
M08959,"Juvenile arthritis, unspecified, unspecified hip",
M08961,"Juvenile arthritis, unspecified, right knee",
M08962,"Juvenile arthritis, unspecified, left knee",
M08969,"Juvenile arthritis, unspecified, unspecified knee",
M08971,"Juvenile arthritis, unspecified, right ankle and foot",
M08972,"Juvenile arthritis, unspecified, left ankle and foot",
M08979,"Juvenile arthritis, unspecified, unspecified ankle and foot",
M0898,"Juvenile arthritis, unspecified, vertebrae",
M0899,"Juvenile arthritis, unspecified, multiple sites",
M089A,"Juvenile arthritis, unspecified, other specified site",
M1200,"Chronic postrheumatic arthropathy [Jaccoud], unspecified site",
M12011,"Chronic postrheumatic arthropathy [Jaccoud], right shoulder",
M12012,"Chronic postrheumatic arthropathy [Jaccoud], left shoulder",
M12019,"Chronic postrheumatic arthropathy [Jaccoud], unspecified shoulder",
M12021,"Chronic postrheumatic arthropathy [Jaccoud], right elbow",
M12022,"Chronic postrheumatic arthropathy [Jaccoud], left elbow",
M12029,"Chronic postrheumatic arthropathy [Jaccoud], unspecified elbow",
M12031,"Chronic postrheumatic arthropathy [Jaccoud], right wrist",
M12032,"Chronic postrheumatic arthropathy [Jaccoud], left wrist",
M12039,"Chronic postrheumatic arthropathy [Jaccoud], unspecified wrist",
M12041,"Chronic postrheumatic arthropathy [Jaccoud], right hand",
M12042,"Chronic postrheumatic arthropathy [Jaccoud], left hand",
M12049,"Chronic postrheumatic arthropathy [Jaccoud], unspecified hand",
M12051,"Chronic postrheumatic arthropathy [Jaccoud], right hip",
M12052,"Chronic postrheumatic arthropathy [Jaccoud], left hip",
M12059,"Chronic postrheumatic arthropathy [Jaccoud], unspecified hip",
M12061,"Chronic postrheumatic arthropathy [Jaccoud], right knee",
M12062,"Chronic postrheumatic arthropathy [Jaccoud], left knee",
M12069,"Chronic postrheumatic arthropathy [Jaccoud], unspecified knee",
M12071,"Chronic postrheumatic arthropathy [Jaccoud], right ankle and foot",
M12072,"Chronic postrheumatic arthropathy [Jaccoud], left ankle and foot",
M12079,"Chronic postrheumatic arthropathy [Jaccoud], unspecified ankle and foot",
M1208,"Chronic postrheumatic arthropathy [Jaccoud], other specified site",
M1209,"Chronic postrheumatic arthropathy [Jaccoud], multiple sites",
M300,Polyarteritis nodosa,
M301,Polyarteritis with lung involvement [Churg-Strauss],
M302,Juvenile polyarteritis,
M303,Mucocutaneous lymph node syndrome [Kawasaki],
M308,Other conditions related to polyarteritis nodosa,
M310,Hypersensitivity angiitis,
M3110,"Thrombotic microangiopathy, unspecified",
M3111,Hematopoietic stem cell transplantation-associated thrombotic microangiopathy [HSCT-TMA],
M3119,Other thrombotic microangiopathy,
M312,Lethal midline granuloma,
M3130,Wegener's granulomatosis without renal involvement,
M3131,Wegener's granulomatosis with renal involvement,
M314,Aortic arch syndrome [Takayasu],
M315,Giant cell arteritis with polymyalgia rheumatica,
M316,Other giant cell arteritis,
M317,Microscopic polyangiitis,
M318,Other specified necrotizing vasculopathies,
M319,"Necrotizing vasculopathy, unspecified",
M3210,"Systemic lupus erythematosus, organ or system involvement unspecified",
M3211,Endocarditis in systemic lupus erythematosus,
M3212,Pericarditis in systemic lupus erythematosus,
M3213,Lung involvement in systemic lupus erythematosus,
M3213,Lung involvement in systemic lupus erythematosus,
M3214,Glomerular disease in systemic lupus erythematosus,
M3215,Tubulo-interstitial nephropathy in systemic lupus erythematosus,
M3219,Other organ or system involvement in systemic lupus erythematosus,
M328,Other forms of systemic lupus erythematosus,
M329,"Systemic lupus erythematosus, unspecified",
M3300,"Juvenile dermatomyositis, organ involvement unspecified",
M3301,Juvenile dermatomyositis with respiratory involvement,
M3301,Juvenile dermatomyositis with respiratory involvement,
M3302,Juvenile dermatomyositis with myopathy,
M3303,Juvenile dermatomyositis without myopathy,
M3309,Juvenile dermatomyositis with other organ involvement,
M3310,"Other dermatomyositis, organ involvement unspecified",
M3311,Other dermatomyositis with respiratory involvement,
M3311,Other dermatomyositis with respiratory involvement,
M3312,Other dermatomyositis with myopathy,
M3313,Other dermatomyositis without myopathy,
M3319,Other dermatomyositis with other organ involvement,
M3320,"Polymyositis, organ involvement unspecified",
M3321,Polymyositis with respiratory involvement,
M3321,Polymyositis with respiratory involvement,
M3322,Polymyositis with myopathy,
M3329,Polymyositis with other organ involvement,
M3390,"Dermatopolymyositis, unspecified, organ involvement unspecified",
M3391,"Dermatopolymyositis, unspecified with respiratory involvement",
M3391,"Dermatopolymyositis, unspecified with respiratory involvement",
M3392,"Dermatopolymyositis, unspecified with myopathy",
M3393,"Dermatopolymyositis, unspecified without myopathy",
M3399,"Dermatopolymyositis, unspecified with other organ involvement",
M340,Progressive systemic sclerosis,
M341,CR(E)ST syndrome,
M3481,Systemic sclerosis with lung involvement,
M3481,Systemic sclerosis with lung involvement,
M3482,Systemic sclerosis with myopathy,
M3483,Systemic sclerosis with polyneuropathy,
M3489,Other systemic sclerosis,
M349,"Systemic sclerosis, unspecified",
M3502,Sjogren syndrome with lung involvement,
M352,Behcet's disease,
M3581,Multisystem inflammatory syndrome,
M360,Dermato(poly)myositis in neoplastic disease,
M450,Ankylosing spondylitis of multiple sites in spine,
M451,Ankylosing spondylitis of occipito-atlanto-axial region,
M452,Ankylosing spondylitis of cervical region,
M453,Ankylosing spondylitis of cervicothoracic region,
M454,Ankylosing spondylitis of thoracic region,
M455,Ankylosing spondylitis of thoracolumbar region,
M456,Ankylosing spondylitis lumbar region,
M457,Ankylosing spondylitis of lumbosacral region,
M458,Ankylosing spondylitis sacral and sacrococcygeal region,
M459,Ankylosing spondylitis of unspecified sites in spine,
M45A0,Non-radiographic axial spondyloarthritis of unspecified sites in spine,
M45A1,Non-radiographic axial spondyloarthritis of occipito-atlanto-axial region,
M45A2,Non-radiographic axial spondyloarthritis of cervical region,
M45A3,Non-radiographic axial spondyloarthritis of cervicothoracic region,
M45A4,Non-radiographic axial spondyloarthritis of thoracic region,
M45A5,Non-radiographic axial spondyloarthritis of thoracolumbar region,
M45A6,Non-radiographic axial spondyloarthritis of lumbar region,
M45A7,Non-radiographic axial spondyloarthritis of lumbosacral region,
M45A8,Non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region,
M45AB,Non-radiographic axial spondyloarthritis of multiple sites in spine,
M4620,"Osteomyelitis of vertebra, site unspecified",
M4621,"Osteomyelitis of vertebra, occipito-atlanto-axial region",
M4622,"Osteomyelitis of vertebra, cervical region",
M4623,"Osteomyelitis of vertebra, cervicothoracic region",
M4624,"Osteomyelitis of vertebra, thoracic region",
M4625,"Osteomyelitis of vertebra, thoracolumbar region",
M4626,"Osteomyelitis of vertebra, lumbar region",
M4627,"Osteomyelitis of vertebra, lumbosacral region",
M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",
M4630,"Infection of intervertebral disc (pyogenic), site unspecified",
M4631,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region",
M4632,"Infection of intervertebral disc (pyogenic), cervical region",
M4633,"Infection of intervertebral disc (pyogenic), cervicothoracic region",
M4634,"Infection of intervertebral disc (pyogenic), thoracic region",
M4635,"Infection of intervertebral disc (pyogenic), thoracolumbar region",
M4636,"Infection of intervertebral disc (pyogenic), lumbar region",
M4637,"Infection of intervertebral disc (pyogenic), lumbosacral region",
M4638,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region",
M4639,"Infection of intervertebral disc (pyogenic), multiple sites in spine",
M4850XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture",
M4851XA,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture",
M4852XA,"Collapsed vertebra, not elsewhere classified, cervical region, initial encounter for fracture",
M4853XA,"Collapsed vertebra, not elsewhere classified, cervicothoracic region, initial encounter for fracture",
M4854XA,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture",
M4855XA,"Collapsed vertebra, not elsewhere classified, thoracolumbar region, initial encounter for fracture",
M4856XA,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",
M4857XA,"Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture",
M4858XA,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture",
M488X1,"Other specified spondylopathies, occipito-atlanto-axial region",
M488X2,"Other specified spondylopathies, cervical region",
M488X3,"Other specified spondylopathies, cervicothoracic region",
M488X4,"Other specified spondylopathies, thoracic region",
M488X5,"Other specified spondylopathies, thoracolumbar region",
M488X6,"Other specified spondylopathies, lumbar region",
M488X7,"Other specified spondylopathies, lumbosacral region",
M488X8,"Other specified spondylopathies, sacral and sacrococcygeal region",
M488X9,"Other specified spondylopathies, site unspecified",
M726,Necrotizing fasciitis,
M80051A,"Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture",
M80052A,"Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture",
M80059A,"Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture",
M8008XA,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",
M80851A,"Other osteoporosis with current pathological fracture, right femur, initial encounter for fracture",
M80852A,"Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture",
M80859A,"Other osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture",
M8088XA,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",
M84451A,"Pathological fracture, right femur, initial encounter for fracture",
M84452A,"Pathological fracture, left femur, initial encounter for fracture",
M84453A,"Pathological fracture, unspecified femur, initial encounter for fracture",
M84459A,"Pathological fracture, hip, unspecified, initial encounter for fracture",
M84551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture",
M84552A,"Pathological fracture in neoplastic disease, left femur, initial encounter for fracture",
M84553A,"Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture",
M84559A,"Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture",
M84651A,"Pathological fracture in other disease, right femur, initial encounter for fracture",
M84652A,"Pathological fracture in other disease, left femur, initial encounter for fracture",
M84653A,"Pathological fracture in other disease, unspecified femur, initial encounter for fracture",
M84659A,"Pathological fracture in other disease, hip, unspecified, initial encounter for fracture",
M84754A,"Complete transverse atypical femoral fracture, right leg, initial encounter for fracture",
M84755A,"Complete transverse atypical femoral fracture, left leg, initial encounter for fracture",
M84756A,"Complete transverse atypical femoral fracture, unspecified leg, initial encounter for fracture",
M84757A,"Complete oblique atypical femoral fracture, right leg, initial encounter for fracture",
M84758A,"Complete oblique atypical femoral fracture, left leg, initial encounter for fracture",
M84759A,"Complete oblique atypical femoral fracture, unspecified leg, initial encounter for fracture",
M8600,"Acute hematogenous osteomyelitis, unspecified site",
M86011,"Acute hematogenous osteomyelitis, right shoulder",
M86012,"Acute hematogenous osteomyelitis, left shoulder",
M86019,"Acute hematogenous osteomyelitis, unspecified shoulder",
M86021,"Acute hematogenous osteomyelitis, right humerus",
M86022,"Acute hematogenous osteomyelitis, left humerus",
M86029,"Acute hematogenous osteomyelitis, unspecified humerus",
M86031,"Acute hematogenous osteomyelitis, right radius and ulna",
M86032,"Acute hematogenous osteomyelitis, left radius and ulna",
M86039,"Acute hematogenous osteomyelitis, unspecified radius and ulna",
M86041,"Acute hematogenous osteomyelitis, right hand",
M86042,"Acute hematogenous osteomyelitis, left hand",
M86049,"Acute hematogenous osteomyelitis, unspecified hand",
M86051,"Acute hematogenous osteomyelitis, right femur",
M86052,"Acute hematogenous osteomyelitis, left femur",
M86059,"Acute hematogenous osteomyelitis, unspecified femur",
M86061,"Acute hematogenous osteomyelitis, right tibia and fibula",
M86062,"Acute hematogenous osteomyelitis, left tibia and fibula",
M86069,"Acute hematogenous osteomyelitis, unspecified tibia and fibula",
M86071,"Acute hematogenous osteomyelitis, right ankle and foot",
M86072,"Acute hematogenous osteomyelitis, left ankle and foot",
M86079,"Acute hematogenous osteomyelitis, unspecified ankle and foot",
M8608,"Acute hematogenous osteomyelitis, other sites",
M8609,"Acute hematogenous osteomyelitis, multiple sites",
M8610,"Other acute osteomyelitis, unspecified site",
M86111,"Other acute osteomyelitis, right shoulder",
M86112,"Other acute osteomyelitis, left shoulder",
M86119,"Other acute osteomyelitis, unspecified shoulder",
M86121,"Other acute osteomyelitis, right humerus",
M86122,"Other acute osteomyelitis, left humerus",
M86129,"Other acute osteomyelitis, unspecified humerus",
M86131,"Other acute osteomyelitis, right radius and ulna",
M86132,"Other acute osteomyelitis, left radius and ulna",
M86139,"Other acute osteomyelitis, unspecified radius and ulna",
M86141,"Other acute osteomyelitis, right hand",
M86142,"Other acute osteomyelitis, left hand",
M86149,"Other acute osteomyelitis, unspecified hand",
M86151,"Other acute osteomyelitis, right femur",
M86152,"Other acute osteomyelitis, left femur",
M86159,"Other acute osteomyelitis, unspecified femur",
M86161,"Other acute osteomyelitis, right tibia and fibula",
M86162,"Other acute osteomyelitis, left tibia and fibula",
M86169,"Other acute osteomyelitis, unspecified tibia and fibula",
M86171,"Other acute osteomyelitis, right ankle and foot",
M86172,"Other acute osteomyelitis, left ankle and foot",
M86179,"Other acute osteomyelitis, unspecified ankle and foot",
M8618,"Other acute osteomyelitis, other site",
M8619,"Other acute osteomyelitis, multiple sites",
M8620,"Subacute osteomyelitis, unspecified site",
M86211,"Subacute osteomyelitis, right shoulder",
M86212,"Subacute osteomyelitis, left shoulder",
M86219,"Subacute osteomyelitis, unspecified shoulder",
M86221,"Subacute osteomyelitis, right humerus",
